"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Notes"
"86"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"3T"	"High"	"V"	8	22	"Var"	"Y"	"Y"	36	43	23	5	NA
"87"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"3T"	"High"	"V"	8	22	"Var"	"Y"	"Y"	29	38	23	6	NA
"88"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"3T"	"High"	"V"	8	22	"Var"	"Y"	"Y"	33	41	23	5	NA
"89"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"3T"	"High"	"V"	8	22	"Var"	"Y"	"Y"	34	42	22	5	NA
"90"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	35	42	25	5	NA
"91"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	34	41	26	6	NA
"92"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	36	42	26	6	NA
"93"	"co FRI"	"Col FRI"	"Col"	"22VarSD"	"22VarSDV"	"6B"	"Low"	"V"	8	22	"Var"	"Y"	"Y"	34	41	24	6	NA
"94"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	46	59	34	9	NA
"95"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	46	59	37	9	NA
"96"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	47	61	37	6	NA
"97"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	46	59	34	7	NA
"98"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	47	61	37	8	NA
"99"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	51	63	40	5	NA
"100"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	55	68	41	9	NA
"101"	"co"	"Col"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	51	66	38	7	NA
"102"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	96	116	54	10	NA
"103"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	73	93	51	12	NA
"104"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	66	83	52	11	NA
"105"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	71	86	50	11	NA
"106"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"5T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	73	90	58	8	NA
"107"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"5T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	85	103	64	8	NA
"108"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"5T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	73	94	49	10	NA
"109"	"co"	"Col"	"Col"	"12ConSD"	"12ConSDNV"	"5T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	71	89	53	10	NA
"110"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"4B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	31	38	25	8	NA
"111"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"4B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	32	39	24	7	NA
"112"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"4B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	31	38	23	8	NA
"113"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"4B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	30	36	23	4	NA
"114"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"6T"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	33	40	24	7	NA
"115"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"6T"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	31	40	26	7	NA
"116"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"6T"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	28	34	17	1	NA
"117"	"co"	"Col"	"Col"	"22ConLD"	"22ConLDNV"	"6T"	"Low"	"NV"	16	22	"Con"	"Y"	"Y"	31	38	27	7	NA
"118"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	52	60	39	8	NA
"119"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	47	54	39	6	NA
"120"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	55	64	34	8	NA
"121"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"2T"	"High"	"NV"	8	22	"Con"	"Y"	"Y"	48	55	40	5	NA
"122"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"7B"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	54	61	40	6	NA
"123"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"7B"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	48	56	38	8	NA
"124"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"7B"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	47	59	31	7	NA
"125"	"co"	"Col"	"Col"	"22ConSD"	"22ConSDNV"	"7B"	"Low"	"NV"	8	22	"Con"	"Y"	"Y"	64	72	45	9	NA
"126"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"3B"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	28	34	17	2	NA
"127"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"3B"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	26	33	16	2	NA
"128"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"3B"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	32	39	21	5	NA
"129"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"3B"	"High"	"NV"	16	22	"Var"	"Y"	"Y"	27	34	18	2	NA
"130"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7T"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	27	34	17	2	NA
"131"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7T"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	29	36	19	4	NA
"132"	"co"	"Col"	"Col"	"22VarLD"	"22VarLDNV"	"7T"	"Low"	"NV"	16	22	"Var"	"Y"	"Y"	28	35	19	4	NA
