"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Blade.length.mm"	"Total.leaf.length.mm"	"Blade.ratio"	"Notes"
"89"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	48	63	27	10	33.4	42.7	0.782201405	""
"90"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	58	78	32	12	20.7	32.8	0.631097561	""
"91"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	58	NA	NA	NA	20.1	30.6	0.656862745	""
"92"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	62	84	33	11	23.7	34	0.697058824	""
"93"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"4B"	"High"	"NV"	8	12	"Var"	"Y"	"Y"	63	81	36	12	33.2	49.9	0.665330661	""
"94"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	66	89	33	9	24.3	34.8	0.698275862	""
"95"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	67	90	34	11	24.7	39.7	0.622166247	""
"96"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	67	91	32	12	24.5	37.6	0.651595745	""
"97"	"co-2"	"Ler"	"Ler"	"12VarSD"	"12VarSDNV"	"5T"	"Low"	"NV"	8	12	"Var"	"Y"	"Y"	67	91	31	11	23.7	37	0.640540541	""
"98"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	27	34	14	6	18.7	26	0.719230769	""
"99"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	29	36	16	7	19.3	26.1	0.739463602	""
"100"	"co-2"	"Ler"	"Ler"	"22ConLD"	"22ConLDNV"	"2B"	"High"	"NV"	16	22	"Con"	"Y"	"Y"	29	36	16	6	20.4	30.5	0.668852459	""
